number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,dataset_name,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
0.4059711380527359,-1.108802962423369,1.267337113127818,-1.1258455192696415,1.0013870673886756,-1.1534815156560139,1.591340430835532,1.1856315218412292,-0.21195943935869827,1.081451840478713,0.644511141612847,1.249689544163143,1.0599633055569593,-1.3594370444127708,Agaricus Lepiota,0,0,0,1,0,0,0,0
0.720783243227945,-1.2805562020272243,1.267337113127818,-1.1258455192696415,0.8963692006565475,-1.28400219937977,1.591340430835532,1.1856315218412292,-0.31639189653593225,0.9002166779156776,0.1210730303149121,1.252531121220691,0.8573280932075423,-1.348798883581005,Agaricus Lepiota,0,1,0,0,0,0,0,0
-0.10245518495782852,-1.1526243743341056,1.267337113127818,-1.1258455192696415,1.1894053287157773,-0.8968016889315754,1.591340430835532,1.1856315218412292,-0.43740240030332667,1.2269215754043445,0.1210730303149121,1.2507013598383836,1.2270251175662499,-1.302606890709942,Agaricus Lepiota,0,0,0,1,0,0,0,0
0.07249223342707448,-1.0664385601839639,1.267337113127818,-1.1258455192696415,1.1218462726724014,-0.9923566964023597,1.591340430835532,1.1856315218412292,-0.49137961710904043,0.7720275991332922,0.1210730303149121,1.2495322676734166,0.7176220930912921,-1.1163471475229163,Agaricus Lepiota,0,0,0,1,0,0,0,0
-0.2837025652687963,-1.0055878628948092,1.267337113127818,-1.1258455192696415,1.262992765863096,-0.7886595237535369,1.591340430835532,1.1856315218412292,-0.632344254016646,1.1839618661500049,0.644511141612847,1.2514020251184315,1.1772806612251139,-1.2271458473212373,Agaricus Lepiota,0,1,0,1,0,0,0,0
0.720783243227945,-0.9731492035401612,1.267337113127818,-1.1258455192696415,0.8963692006565475,-1.28400219937977,1.591340430835532,1.1856315218412292,-0.31639189653593225,0.920030468657595,0.644511141612847,1.2494143529511061,0.8791867531879599,-1.3572432735643727,Agaricus Lepiota,0,0,0,1,0,0,0,0
0.8721464250297986,-1.0783946235075657,1.267337113127818,-1.1258455192696415,0.8485172406323976,-1.340366599755416,1.591340430835532,1.1856315218412292,-0.21195943935869827,0.9338945874945426,0.644511141612847,1.2488042146380594,0.8945243796480188,-1.392878092449807,Agaricus Lepiota,0,1,0,1,0,0,0,0
1.3055451849531057,-1.182648426166789,-1.861411574869517,-1.1258455192696415,-2.3460383890432204,-1.4823645805010437,-1.3464953314906423,1.1779178643339099,-0.3391470470455963,0.8611067419165567,-0.6716266307804278,1.2667651419677972,0.8143913576250061,-1.4403218645365352,Agaricus Lepiota,0,1,0,1,0,0,0,1
1.3055451849531057,-1.182648426166789,-0.2578716349096145,-1.1258455192696415,-0.6690397105661294,-1.4823645805010437,0.25899876455734233,1.1836630204877376,-0.3391470470455963,0.7836632988239592,-0.013531622218345,1.2389891571005505,0.7301821309654385,-1.4112443943167434,Agaricus Lepiota,0,0,0,1,0,0,0,0
1.3055451849531057,-1.182648426166789,0.10624147589599298,-1.1258455192696415,-0.31874755370571806,-1.4823645805010437,0.5919777874711526,1.1859493775056018,-0.3391470470455963,0.8262905777085418,-0.30535429847427115,1.2530406628945612,0.7764008454806273,-1.4273607012111706,Agaricus Lepiota,0,0,0,1,0,0,0,0
