number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,dataset_name,layer_normalisation,batch_normalisation,weight_decay,baseline,dropout,prune,weight_normalisation,weight_perturbation
0.40458035035867895,-1.3144624147293755,1.246538270454057,-1.1600192738445485,1.00045246713731,-1.1568089499111054,1.5477572880358819,1.096388180699668,-0.293441569078811,0.874777693231286,0.20560744031619724,1.1155761978439698,0.8407224212389849,-1.2926851496173484,Agaricus Lepiota,1,0,0,0,0,0,0,0
0.755656437163917,-1.4693317569399047,1.246538270454057,-1.1600192738445485,0.8962724263948862,-1.2906528604912961,1.5477572880358819,1.096388180699668,-0.40071199313008543,0.6935962654489941,-0.1775260645340746,1.118691472452234,0.6435109638876448,-1.2807623217386552,Agaricus Lepiota,0,1,0,0,0,0,0,0
-0.1532535125171008,-1.354751478190917,1.246538270454057,-1.1600192738445485,1.1873384149955473,-0.8939715996480193,1.5477572880358819,1.096388180699668,-0.5242041503098563,1.0228352133529757,-0.1775260645340746,1.1166852873645647,1.005818514781381,-1.2290299167639025,Agaricus Lepiota,1,0,0,0,0,0,0,0
0.03736932808948883,-1.2750460580017589,1.246538270454057,-1.1600192738445485,1.1201319678646315,-0.9917587238238136,1.5477572880358819,1.096388180699668,-0.5790098549610138,0.5673304817334149,-0.1775260645340746,1.1154038192831974,0.5092118053100209,-1.0210852005485638,Agaricus Lepiota,1,0,0,0,0,0,0,0
-0.3492105064821874,-1.2176649424863888,1.246538270454057,-1.1600192738445485,1.2606109466655155,-0.7833924947815138,1.5477572880358819,1.096388180699668,-0.7213308748644484,0.9788412966495152,0.20560744031619724,1.1174534317596412,0.9563970918546245,-1.1446535111044336,Agaricus Lepiota,1,1,0,0,0,0,0,0
0.755656437163917,-1.1867227102128293,1.246538270454057,-1.1600192738445485,0.8962724263948862,-1.2906528604912961,1.5477572880358819,1.096388180699668,-0.40071199313008543,0.713245154848044,0.20560744031619724,1.115274585305849,0.6646406441159247,-1.2902261950130955,Agaricus Lepiota,1,0,0,0,0,0,0,0
0.9259173255716179,-1.2862154500551015,1.246538270454057,-1.1600192738445485,0.8488511170854549,-1.3484908117560692,1.5477572880358819,1.096388180699668,-0.293441569078811,0.7270160108977655,0.20560744031619724,1.1146059204390022,0.6794865702056725,-1.3301853596075748,Agaricus Lepiota,1,1,0,0,0,0,0,0
1.4184362236772146,-1.382060064982054,-1.8216261661127804,-1.1600192738445485,-2.2466702828014977,-1.4943009303979546,-1.311420301802291,1.0865643644815441,-0.4239998292594762,0.6549186027386455,-0.7052644837491445,1.1343207128329074,0.6021006589345294,-1.3834411953103418,Agaricus Lepiota,1,1,0,0,0,0,0,1
1.4184362236772146,-1.382060064982054,-0.25062691513135876,-1.1600192738445485,-0.6390522257456914,-1.4943009303979546,0.2722677708647461,1.0938794186503074,-0.4239998292594762,0.5787327847676768,-0.27103403007493415,1.1038594192632019,0.5212348600150395,-1.3507942806510924,Agaricus Lepiota,1,0,0,0,0,0,0,0
1.4184362236772146,-1.382060064982054,0.10655690117537123,-1.1600192738445485,-0.2983732023526059,-1.4943009303979546,0.5941693451515385,1.0967933856237273,-0.4239998292594762,0.620603205630254,-0.4679447748577612,1.1192502616823699,0.5655623571021351,-1.3688861184466417,Agaricus Lepiota,1,0,0,0,0,0,0,0
1.4184362236772146,-1.382060064982054,0.49218419599681346,-1.1600192738445485,0.05776425423747167,-1.4943009303979546,0.9286167419571649,1.0963088243370278,-0.5580598368146032,0.6421637161768908,-0.20201385846953182,1.1455237895919526,0.5884974529435308,-1.3780252198369534,Agaricus Lepiota,1,0,0,0,0,0,0,0
1.4184362236772146,-1.382060064982054,0.6178961335244892,-1.1600192738445485,0.17132283900753612,-1.4943009303979546,1.0348986856768865,1.0959647284181502,-0.4239998292594762,0.6183863693665772,-0.4736867647173378,1.1158966910294907,0.5632084105598367,-1.36794548330031,Agaricus Lepiota,1,0,0,0,0,0,0,0
1.4184362236772146,-1.382060064982054,0.8689670359408734,-1.1600192738445485,0.3945121765531594,-1.4943009303979546,1.2433483202482956,1.09625685376928,-0.4239998292594762,0.6245337151975396,-0.03126474168565667,1.1152211450097291,0.5697379011690649,-1.3705649078500746,Agaricus Lepiota,1,0,0,0,0,0,0,0
1.4184362236772146,-1.382060064982054,0.9930265271993346,-1.1600192738445485,0.5030641303654652,-1.4943009303979546,1.3445379652274785,1.0968553779320271,-0.4239998292594762,0.633775118555185,-0.2003916532548492,1.1222624344600074,0.5795651816832277,-1.3744820291169284,Agaricus Lepiota,1,0,0,0,0,0,0,0
1.4184362236772146,-1.382060064982054,1.1452109088280056,-1.1600192738445485,0.6347054636833057,-1.4943009303979546,1.4670937513925364,1.096269799007217,-0.4239998292594762,0.6202738228231616,-0.21543795329464455,1.112952674736989,0.5652125523656688,-1.3687493070773815,Agaricus Lepiota,1,0,0,0,0,0,0,0
0.40458035035867895,0.7743464472063368,1.1211671005294936,-0.29659358021968374,0.8917146706998991,-0.6574062486596913,1.140111500991869,-1.2788857350268936,1.1211195445411095,-0.7872231989150762,-0.7052644837491445,-0.04969864035058412,-0.7880225434661867,-0.6916697273814778,Ann thyroid,0,0,0,0,0,1,0,0
0.5819697629807542,0.7743464472063368,1.1211671005294936,-0.29659358021968374,0.8381880886503806,-0.7432571192554841,1.140111500991869,-1.2788857350268936,1.1297607660962972,-0.8415831479834862,-0.7052644837491445,-0.06116649418888765,-0.8353557901068785,-0.6784602401734341,Ann thyroid,0,0,0,0,0,1,0,0
