dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,layer_normalisation,batch_normalisation,weight_decay,baseline,dropout,prune,weight_normalisation,weight_perturbation
Agaricus Lepiota,15.0,0.6,4.0,2.0,3.0,0,4.0,0.9306083650190116,0.3333333333333333,3,2,3,3,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,17.0,0.5294117647058824,4.0,2.0,3.0,0,4.0,0.9306083650190116,0.2941176470588235,2,1,3,2,0.0,0,1,0,0,0,0,0,0
Agaricus Lepiota,12.0,0.5833333333333334,4.0,2.0,3.0,0,4.0,0.9306083650190116,0.25,3,1,3,3,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,13.0,0.6153846153846154,4.0,2.0,3.0,0,4.0,0.9306083650190116,0.2307692307692307,2,1,3,2,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,11.0,0.6363636363636364,4.0,2.0,3.0,0,4.0,0.9306083650190116,0.1818181818181818,3,2,3,3,0.0,1,1,0,0,0,0,0,0
Agaricus Lepiota,17.0,0.6470588235294118,4.0,2.0,3.0,0,4.0,0.9306083650190116,0.2941176470588235,2,2,3,2,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,18.0,0.6111111111111112,4.0,2.0,3.0,0,4.0,0.9306083650190116,0.3333333333333333,2,2,3,2,0.0,1,1,0,0,0,0,0,0
Agaricus Lepiota,21.0,0.5714285714285714,0.0,2.0,0.0,0,1.0,0.925925925925926,0.2857142857142857,2,0,3,2,0.0,1,1,0,0,0,0,0,1
Agaricus Lepiota,21.0,0.5714285714285714,2.0,2.0,1.0,0,3.0,0.9294117647058824,0.2857142857142857,2,1,3,2,0.0,1,0,0,0,0,0,0,0
Agaricus Lepiota,21.0,0.5714285714285714,3.0,2.0,2.0,0,3.0,0.9308016877637132,0.2857142857142857,2,1,3,2,0.0,1,0,0,0,0,0,0,0
